,index,created_at,id,id_str,text,text_range,lang,user_id,user_id_str,user_name,user_screen_name,retweeted,quoted,polarity,subjectivity
0,0,13-12-2018 19:22,1.0733E+18,1.0733E+18,Excellent interview with @HARRISFAULKNER https://t.co/zy7osLCt8N,"[0, 40]",en,1,1,user1,user1,0,1,1,1
1,1,13-12-2018 19:20,1.0733E+18,1.0733E+18,Yeah maybe lay off the speed eh? https://t.co/LJgNNEIy5d,"[0, 32]",en,2,2,user2,user2,0,1,0,0
2,2,13-12-2018 19:19,1.0733E+18,1.0733E+18,How propaganda works. https://t.co/dSh7acXo4P,"[0, 21]",en,3,3,user3,user3,0,1,-0.1,0.1
3,3,13-12-2018 19:19,1.0733E+18,1.0733E+18,"#Trump Interview Link 8 minutes on his Ex Attorney Michael Cohen sentenced to 3yrs
Here is the #Trump Interview 
https://t.co/mhIOOMnaOU https://t.co/Ufvh9Johss","[0, 136]",en,4,4,user4,user4,0,1,0,0
4,4,13-12-2018 19:19,1.0733E+18,1.0733E+18,"Garbage in, garbage out https://t.co/49b4wpK6GW","[0, 23]",en,5,5,user5,user5,0,1,0,0
5,5,13-12-2018 19:18,1.0733E+18,1.0733E+18,Sad! https://t.co/uKndRyOVMS,"[0, 4]",und,6,6,user6,user6,0,1,0,0
6,6,13-12-2018 19:18,1.0733E+18,1.0733E+18,56 million followers and 14K liked this an hour later. You’re weaker than circus lemonade Donnie... https://t.co/MWiJWjnBwv,"[0, 99]",en,7,7,user7,user7,0,1,0.3,0.4
7,7,13-12-2018 19:18,1.0733E+18,1.0733E+18,":Trump Interview on Fox at 1PM today on Michael Cohen 
Who received a 3year sentence 

#MAGA #TRUMP #POTUS #QAnon #WWG1WGA https://t.co/Ufvh9Johss","[0, 122]",en,8,8,user8,user8,0,1,0,0
8,9,13-12-2018 19:16,1.0733E+18,1.0733E+18,More lies? No thank you https://t.co/rG5Uxb63x0,"[0, 23]",en,9,9,user9,user9,0,1,0.5,0.5
9,10,13-12-2018 19:16,1.0733E+18,1.0733E+18,"Utterly despicable. Lying to the American people when there is audio evidence you broke the law. 
IMPEACHMENT NOW!!!!!!!!!!!!!!!!!! #Trump https://t.co/JICJip8Pc1","[0, 138]",en,10,10,user10,user10,0,1,0,0.5
10,12,13-12-2018 19:16,1.0733E+18,1.0733E+18,"""NO F----N WAY!!!!"" https://t.co/4ThAlIs4kl","[0, 19]",en,11,11,user11,user11,0,1,0,0
11,13,13-12-2018 19:15,1.0733E+18,1.0733E+18,Why the hell are the American people paying #Individual1 @realDonaldTrump to do interviews in order to spin stories about felonies he and Cohen conducted? https://t.co/i37E00VGuX,"[0, 154]",en,12,12,user12,user12,0,1,0,0
12,14,13-12-2018 19:15,1.0733E+18,1.0733E+18,"""The #FakePresident and #RussianPuppet has nothing better to do with his dwindling time in office than golfing and appearing on and/or live-tweeting @FoxNews."" Enjoy! https://t.co/9h6iQvRx1p","[0, 166]",en,13,13,user13,user13,0,1,0.5,0.5
13,15,13-12-2018 19:15,1.0733E+18,1.0733E+18,Nobody gives a shit. https://t.co/4tTzokk0b9,"[0, 20]",en,14,14,user14,user14,0,1,-0.2,0.8
14,16,13-12-2018 19:14,1.0733E+18,1.0733E+18,"How is ""interview"" defined? Trump goes to Fox News to expose propaganda. No enjoyment here. https://t.co/eFY5XAyXxI","[0, 91]",en,15,15,user15,user15,0,1,-0.1,0.1
15,17,13-12-2018 19:11,1.07329E+18,1.07329E+18,"支持川普，铲除恶魔独裁共匪，美国民主党是共匪独裁的合作者，美国人民应该都支持川普，铲除世界的敌人ccp 
https://t.co/1MRv3QI8vW https://t.co/swuqr1rdI6","[0, 76]",zh,16,16,user16,user16,0,1,0,0
