,index,created_at,id,id_str,text,text_range,lang,user_id,user_id_str,user_name,user_screen_name,retweeted,quoted,polarity,subjectivity
0,2,13-12-2018 19:23,1.0733E+18,1.0733E+18,WTF did you happen to read what Anne Coulter said on government run FOX? https://t.co/A7jS76PkLI,"[0, 72]",en,1,1,user1,user1,0,1,-0.5,1
1,3,13-12-2018 19:23,1.0733E+18,1.0733E+18,President P*ssy Grabber is out here whining about passes. The audacity. https://t.co/4yUYQlLFJI,"[0, 71]",en,2,2,user2,user2,0,1,0,0
2,4,13-12-2018 19:21,1.0733E+18,1.0733E+18,Are you on the clock? https://t.co/4j8BOdbxHf,"[0, 21]",en,3,3,user3,user3,0,1,0,0
3,5,13-12-2018 19:20,1.0733E+18,1.0733E+18,Great choice https://t.co/G5sMdDs9vi,"[0, 12]",en,4,4,user4,user4,0,1,0.8,0.75
4,6,13-12-2018 19:14,1.0733E+18,1.0733E+18,No Doubt! https://t.co/a8cvGxjR0G,"[0, 9]",en,5,5,user5,user5,0,1,0,0
5,7,13-12-2018 19:14,1.0733E+18,1.0733E+18,"Shut up, traitor. https://t.co/0UUeTeDjo2","[0, 17]",en,6,6,user6,user6,0,1,0,0
6,8,13-12-2018 19:13,1.07329E+18,1.07329E+18,"支持川普，铲除恶魔独裁共匪
https://t.co/1MRv3QI8vW https://t.co/JGOAvuyMWN","[0, 37]",zh,7,7,user7,user7,0,1,0,0
7,10,13-12-2018 19:11,1.07329E+18,1.07329E+18,😂 https://t.co/rWne0CsjlT,"[0, 1]",und,8,8,user8,user8,0,1,0,0
8,11,13-12-2018 19:11,1.07329E+18,1.07329E+18,"Pushing for gun control, prison reform and now fighting homophobia - He's a Liberal deep down! https://t.co/efMLVfapHW","[0, 94]",en,9,9,user9,user9,0,1,-0.097222222,0.344444444
9,12,13-12-2018 19:04,1.07329E+18,1.07329E+18,"Delusional Toxic Trump spinning more lies. The only affect is to highlight his willful ignorance, his insecure weak leadership, and his illegal activities. NO CREDIBILITY! https://t.co/HKUBlmKc57","[0, 171]",en,10,10,user10,user10,0,1,-0.2,0.7
10,13,13-12-2018 19:03,1.07329E+18,1.07329E+18,"Yes, let's all rake Mika Brzezinski over the coals for calling out Secretary of State Mike Pompeo as President Trump's ""butt boy"" because Trump has been implicated in federal court as an unindicted co-conspirator in two major felonies. https://t.co/Td7mtTIlZQ","[0, 235]",en,11,11,user11,user11,0,1,-0.16875,0.5
11,14,13-12-2018 19:03,1.07329E+18,1.07329E+18,We all know that the Dems behavior standards do not apply to them. Proves it's all political https://t.co/HW7CKRutR6,"[0, 92]",en,12,12,user12,user12,0,1,0.15,0.05
12,16,13-12-2018 18:53,1.07329E+18,1.07329E+18,Trump doing what he suppose to be doing https://t.co/17kiGmx2MB,"[0, 39]",en,13,13,user13,user13,0,1,0,0
13,17,13-12-2018 18:52,1.07329E+18,1.07329E+18,And how about @VP and his homophobic life? https://t.co/UwqnP2hfbY,"[0, 42]",en,14,14,user14,user14,0,1,0,0
14,18,13-12-2018 18:50,1.07329E+18,1.07329E+18,"The ""terrible ratings"" part is the stuff that gets me every time. 😂 https://t.co/lxWzTvkMCO","[0, 67]",en,15,15,user15,user15,0,1,-1,1
15,19,13-12-2018 18:50,1.07329E+18,1.07329E+18,Right and they can even name one racial slur that you made when asked LOL https://t.co/a6M1aZvXwX,"[0, 73]",en,16,16,user16,user16,0,1,0.542857143,0.617857143
16,21,13-12-2018 18:47,1.07329E+18,1.07329E+18,Jail the New Faking TRAITORs https://t.co/8WJUyNKeig,"[0, 28]",en,17,17,user17,user17,0,1,0.018181818,0.227272727
17,23,13-12-2018 18:46,1.07329E+18,1.07329E+18,"BULL FUCKING SHIT

YOU are PROJECTING your sins onto others.

It is the same as a CONFESSION from YOU

@realDonaldTrump 
#littlemantrump
#TrumpTREASON is REAL https://t.co/L9j09g2Z4g","[0, 158]",en,18,18,user18,user18,0,1,0,0.408333333
18,26,13-12-2018 18:44,1.07329E+18,1.07329E+18,#FireMika https://t.co/LXxkMbVBkp,"[0, 9]",und,19,19,user19,user19,0,1,0,0
19,28,13-12-2018 18:43,1.07329E+18,1.07329E+18,"Most normal families don't want their family members exposed to that lifestyle.
Your administration destroys wholesome family units while you spew Javanka's thoughts on twitter.
You sound like a #FakeConservative.

@SteveDeaceShow @MarkDavis @TuckerCarlson @seanhannity @stranahan https://t.co/JCNlvLmCnu","[0, 280]",en,20,20,user20,user20,0,1,0.35,0.516666667
20,29,13-12-2018 18:40,1.07329E+18,1.07329E+18,"@realDonaldTrump Posted... 
https://t.co/CtxfTImZhb","[0, 51]",en,21,21,user21,user21,0,1,0,0
21,32,13-12-2018 18:37,1.07329E+18,1.07329E+18,"Would you please just shut the fuck up?  Do your job, or plan your exit,  or learn to be a decent human being, or grow up.  Just get off Twitter.  #asshole https://t.co/JqvD1MyMyH","[0, 155]",en,22,22,user22,user22,0,1,-0.077777778,0.455555556
22,33,13-12-2018 18:37,1.07329E+18,1.07329E+18,"続き。しかしひどい視聴率にも関わらず、逃れられるだろう。この酷い問題について勇気をもって反論した我々の偉大な駐独米国大使のリチャード・グレネルを賞賛する！#トランプ大統領　訳

（解説）グレネル氏は同性愛者として公言した初めての共和党大統領候補の元広報。ミカの発言をツイッターで批判 https://t.co/57yFtHqUOV","[0, 141]",ja,23,23,user23,user23,0,1,-0.075,0.354761905
23,34,13-12-2018 18:36,1.07329E+18,1.07329E+18,The hearts on their posts show 600 on most.  No one watches so they had to do hate speech to get ratings.  They are scared of the good folks Making America Great Again. #MAGA https://t.co/RSbRdNMffZ,"[0, 174]",en,24,24,user24,user24,0,1,0.3,0.6875
24,35,13-12-2018 18:36,1.07329E+18,1.07329E+18,#ThursdayThoughts https://t.co/VfBuna7EpR,"[0, 17]",und,25,25,user25,user25,0,1,0,0
25,38,13-12-2018 18:33,1.07328E+18,1.07328E+18,"@realDonaldTrump Posted... 
https://t.co/Dv0Qw9WW6L","[0, 51]",en,26,26,user26,user26,0,1,0,0
26,39,13-12-2018 18:31,1.07328E+18,1.07328E+18,You resign for your terrible shit and Mika will do the same. Deal? https://t.co/bmeeK6HlRu,"[0, 66]",en,27,27,user27,user27,0,1,-0.4,0.641666667
